"HolderAddress","Balance","PendingBalanceUpdate"
"0x7fc64149f0d21aad2f9e00ca1420285ed475c614","3,219.24328085","No"
"0x1f695787944993398cc7b0274bb5d7d740e54521","3,106.41110376","No"
"0x86ccf0491ff9cb7dee93b5061a946ec714407fb8","3,000","No"
"0x4d7c2fe9256631df00db683bf538a1c3ba8d027a","2,988.22900178","No"
"0xe583745b42370c414958d4b0104c45606f23a233","2,928.20395511","No"
"0xcb8eb9f660a3dc1351552a2656ccffe67321806d","2,893.31938815","No"
"0x9020b59840ae2cbb24fcd9224131e1a77aca61e8","2,801.38645586","No"
"0x7b079cde0d0f30096e4ec968f92cf07339fae3e6","2,801.00269719","No"
"0x3917cb99ed9c5ec4975980b6a7f6f5547622478e","2,800","No"
"0x05121bbb19a168ea96418c71c13fdf83cca7ca94","2,630.20890351","No"
"0x768f03bd2713f8b9634356ac83113d5356e82f01","2,612.51847454","No"
"0x5d4cc151bcf54172f6af3de984e78b2f54c5e6d9","2,600","No"
"0x5787d2dba7608d9bbd390ca67e8fed48f4840af6","2,600","No"
"0x0f214f2f2091a001b7474c320e9a4a6c89f52eb8","2,452.49696118","No"
"0x446cadcf3c839d1f9bf4dd9364080bd6ddc16d43","2,404.31756449","No"
"0x09f37295c7e83bba24b43e3197f3059878c88220","2,342.72326673","No"
"0xc69a6a570b812c926c81c8d8099d9f2fd2cf2c0a","2,290.48969838","No"
"0x68a2575b1c5095aabb105d9f783ccccc4fbcd22e","2,283.05989679","No"
"0x618392e64f67e457abda090417b6fc9d68c51c82","2,091.06267205","No"
"0x944625b74b591a99657f2a24f2a5d959074ac6f0","2,090.91640004","No"
"0x83d56ce7360a6fd1909b6ebe5dda90e01106e6a2","2,088.58608758","No"
"0x8ae3457ffe9e19d7c3436f42b8c2d2c9dec3ca7f","2,000.08708959","No"
"0x2f05d94c6d16ec7562169387415b6c480b1ac212","2,000","No"
"0xe91803c2433d8da70b0ae32ec91b5252cd3b2f76","2,000","No"
"0x6f11228ee83e72c457926733f377c4786c3a88d3","1,996.39469659","No"
"0xa3404f072959d65d77cd03afcd633b9c96efcf4f","1,995.14407672","No"
"0x326749d29d2bd59d5cdb8701f2413cb107467a0d","1,925.00009339","No"
"0x879d24d80705ffd30e500640a1f1f1d0008ac005","1,904.28483786","No"
"0x1d526a038c9b0ac9f0f1c58c827f3c698bb7227f","1,891.52041838","No"
"0x77b32fe18ccca6d0d1d387f1a15db44c52806a9d","1,740.86312563","No"
"0xba6a90ad0aa00d4dd42a2305d261c91111556f79","1,730.13454689","No"
"0xc085e9487940b769cc30d7dc34048cddfc0eca30","1,695","No"
"0x0c1358e148b0d9fbcb04e6e5ac2d7c5e76bc6f22","1,685.51024126","No"
"0x744f25650af7cd016df7221bd07647ca25dfc2f3","1,666.85087768","No"
"0x602d7e04a8671085589ec69e6fbb30533bbe7ec8","1,664.52028332","No"
"0xac3445f826c130b225bf98687e41ed370c1319d9","1,650.61844409","No"
"0x105a16d82dc03ed44d4854841fa92c545d506a13","1,500","No"
"0x7682e94eba33eed586b8f2992262e3bada130371","1,499.13821677","No"
"0x0b2059b7501f5c1fa65f2f77d57bcb0495b6ac4a","1,451.44316724","No"
"0x9a24f15d07c36b453b442561107b7631e48fce17","1,439.57120902","No"
"0x9ceff1bff32552ae52877e2bac0a7780917f1182","1,418.51630825","No"
"0x26e4ad5c36be67d03bf22af3a397df2ff4b4a2d0","1,418.06998913","No"
"0xc1c8681e7ad4bc2eac09607202c79adc7290f866","1,417.3923379","No"
"0x90f743f4eaed137598921cc2fe38e3d937c321d6","1,414.30674374","No"
"0x1ba65a907df9c4f77622e37efef695041e0eca45","1,408.47051935","No"
"0xe8a2ea3a1e2e21ae4f66dce56435e909840afa86","1,385.33067835","No"
"0x47fa529093222d5d62499a7351c073d21c67fa93","1,373.35494093","No"
"0x9fafa03d285096f8bd75c980f22dbe68ceb9443e","1,356.90424458","No"
"0x92639702d4a5d411d995565533646ecc5c10f185","1,352.60876281","No"
"0x8acd341144317e7dbd30d05c6cc87ecc07523071","1,332.47643541","No"
"0x79a7f69fac8a2b94196b7868aa4daacb2eb5df35","1,312.42428321","No"
"0xc8f1ae3abd21705af1ce9dc883407d011425eae3","1,297.8223094","No"
"0x4ffd42d2fc86991180925811eb1f66824ccdf1eb","1,291.67612236","No"
"0xe73ce8a455adbfe1cb72ad3843ee23bfc67c0439","1,291.30547584","No"
"0x4cb450b131529d58893d17771f584c8820038f98","1,262.9588189","No"
"0x9c3a248a7a38c6d0bc04be9b69bef1b6473fbd08","1,240.31577357","No"
"0x3c163f1ad128d79d6fa137fc6c231547e0a13185","1,200","No"
"0xb0e4b69a018b35102dc648f81542efb88744b5ef","1,190.81143732","No"
"0x1a447e209b39655baa9de5df27088cdf8a67e112","1,178.33","No"
"0xd100c58d60c0aa49414b4c8b930dc27481fa12bb","1,172.31621347","No"
"0x1bbeeec2ae80c31c73119b1549d27ac2af3dde84","1,168.99333982","No"
"0x937b0d26ecfc779e2e256167ea9eff12bed5a7d0","1,165.31390635","No"
"0x9c1bd56282921ecac9344286b81ef8eb3207aa24","1,155.48003398","No"
"0x2a61facbe281c097f257eeb524e0159b6e862e01","1,154.25781149","No"
"0xeba6f187678002186d6764b547d1878cc47c2d64","1,077.68290605","No"
"0x08d54e8b1f502821d3e2c4f53fee8c48a1e36d3e","1,041.26316344","No"
"0xb911c6e176d87cb1074928c8cccf317cc7c046da","1,015.17872521","No"
"0x129099cef3e04a0087bdb74919b2b1f10806e502","1,010.4033077","No"
"0x16f03094e9e4c56b828445ee8780891d1b47e693","1,009.89215032","No"
