address,in_degree,out_degree
0x0000000000000000000000000000000000000000,4,1
0xa0b83e91c62289516b20167888752e19557ed683,2,3
0xf32682d5f99ba4143532618d6f516859a055ea06,90,218
0x06fed18718975d9e178e0c0fea35c18eac794c3f,4,11
0xefa9aa1f0b80f8df420204fdf8541e3012d576fd,1,1
0x6c0fc6d1b1d09d6f4725a06c999d3a7f1d39ce1f,1,1
0xdeb257ebd3e0f2140b9bd8630d36a0af249cc4f4,1,1
0xd6619c3fdc8745c4efc0b6c0e0d1691ec9a2ec56,1,1
0x25c04ec59b4d159f53734fd0fdf415669d47eccb,1,0
0x9ca602c9ac76089e5a5c138eacb03ae1e721c2b6,1,0
0x0055d1e58cd91ef0e80ed4e89f66f2d9f1d6d9b7,1,0
0x2d1fd0d691982756ba8fd3f9290d3fd4d7a22855,1,1
0x4dff716ea8a4eb70012fedb7c9974e846ef0450b,1,1
0xec4b0f4ad7e795c38f476b90ff3cdee5c040f9da,1,0
0xb1af6aa1ae960d01ac9727521dadee8c145aace5,1,1
0xa6c7b2447eb648560e9fa5333a04028818ed3601,1,1
0x96cc5af178da3b38703ee0a72b3d0d2d70631fd4,1,1
0xe35117e4512ec9ab1e2d35551dd8f6ab74e82ab6,1,1
0xbc5055673e70ef268b26194b6c58d925e3616041,1,0
0x31e9ff01765ee59fb72fa120bd9d6c1b1dee8844,1,1
0xfb3d4e5de6a93194fdd6622de05e3b860c0c6b52,1,1
0xbab1d062df737bed1ede71ef66f056577755469f,1,1
0x1d0fc2d8a3b406c67b1db9279d878d1d33581252,1,1
0x9b53723ef104396f1f44a378a84a15067e11e166,1,1
0x9fafa03d285096f8bd75c980f22dbe68ceb9443e,1,0
0x1a4c49cd84e5de48d4a167dd804ceabd64d2dda9,1,1
0xa0754b7a37ba4f9f7961c707bdbea8ea5d669287,1,1
0xe3bb2c2774dc74cb02c8cd882ae34150fb5dae58,1,0
0xd5395907e610b385cc735b47367b4572011c57e3,1,1
0x8506e73e760f331b8f7ab86c9d4e40b35f11ddff,1,1
0xce1d448fcb80d5794747fc11933bff2672881bfe,1,1
0x8b6d357aaf989ac321adcb2a86094eb37a18f855,1,1
0xc6404f24db2f573f07f3a60758765caad198c0c3,1,1
0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,1,2
0x62dce9c8e951d48632b1d84f7a33602019f20fbd,1,1
0x0b0fdd3195865900fe0586a2dbb82a0cae243bdb,1,1
0x4c1c496c43dc31620d1cba8969fc977cf1c42b10,1,0
0xdff262bf0298810e4e4b479daa6dd3689a74098a,1,0
0x8adb73c2c39182804ac872964e0947c38135f7fe,1,0
0x9b716dfe04b00631f41add5c3d880b8e4922ac21,1,0
0xe6e0c23a41b1d21fa84ea41b9a32667c3d875070,1,1
0xc57e46c9e65c1340bc5c867e858ea5a7aa54dc74,1,0
0x4c40c64510b40face1de92a2f6495d52b0f98695,1,1
0x057e070a6b7e85e2c5cf18a26c767d737931e7ce,1,0
